year	president_party	public_polarization	scotus_polarization
1866	R	0.131450	1.000000
1867	R	0.242317	1.000000
1868	R	0.338402	1.000000
1869	R	0.444474	1.000000
1870	D	0.509747	1.000000
1871	D	0.524137	1.000000
1872	D	0.591258	1.000000
1873	D	0.630322	1.000000
1874	R	0.665037	1.000000
1875	R	0.704530	1.000000
1876	R	0.741592	1.000000
1877	R	0.801032	1.000000
1878	D	0.564804	-1.000000
1879	D	0.347626	-1.000000
1880	D	0.137561	-1.000000
1881	D	-0.049286	-1.000000
1882	R	-0.170275	-1.000000
1883	R	-0.241173	-1.000000
1884	R	-0.339520	-1.000000
1885	R	-0.427554	-1.000000
1886	D	-0.483240	-1.000000
1887	D	-0.590132	-1.000000
1888	D	-0.646753	-1.000000
1889	D	-0.670801	-1.000000
1890	R	-0.408207	1.000000
1891	R	-0.218422	1.000000
1892	R	-0.038589	1.000000
1893	R	0.110418	1.000000
1894	D	0.253097	1.000000
1895	D	0.317508	1.000000
1896	D	0.422702	1.000000
1897	D	0.449633	1.000000
1898	R	0.439362	1.000000
1899	R	0.491023	1.000000
1900	R	0.525668	1.000000
1901	R	0.608870	1.000000
1902	D	0.401695	-1.000000
1903	D	0.169097	-1.000000
1904	D	0.033381	-1.000000
1905	D	-0.137465	-1.000000
1906	R	-0.255205	-1.000000
1907	R	-0.361513	-1.000000
1908	R	-0.439626	-1.000000
1909	R	-0.484895	-1.000000
1910	D	-0.528781	-1.000000
1911	D	-0.574739	-1.000000
1912	D	-0.604802	-1.000000
1913	D	-0.635499	-1.000000
1914	R	-0.423212	1.000000
1915	R	-0.245479	1.000000
1916	R	-0.086984	1.000000
1917	R	0.076816	1.000000
1918	D	0.193562	1.000000
1919	D	0.370373	1.000000
1920	D	0.426010	1.000000
1921	D	0.464915	1.000000
1922	R	0.554004	1.000000
1923	R	0.649331	1.000000
1924	R	0.702874	1.000000
1925	R	0.758290	1.000000
1926	D	0.551565	-1.000000
1927	D	0.330237	-1.000000
1928	D	0.102240	-1.000000
1929	D	-0.064830	-1.000000
1930	R	-0.162291	-1.000000
1931	R	-0.317030	-1.000000
1932	R	-0.404242	-1.000000
1933	R	-0.471781	-1.000000
1934	D	-0.546254	-1.000000
1935	D	-0.578379	-1.000000
1936	D	-0.609971	-1.000000
1937	D	-0.584605	-1.000000
1938	R	-0.342543	1.000000
1939	R	-0.173672	1.000000
1940	R	-0.028702	1.000000
1941	R	0.086428	1.000000
1942	D	0.237804	1.000000
1943	D	0.320901	1.000000
1944	D	0.406430	1.000000
1945	D	0.503717	1.000000
1946	R	0.542228	1.000000
1947	R	0.587856	1.000000
1948	R	0.580211	1.000000
1949	R	0.596477	1.000000
1950	D	0.354201	-1.000000
1951	D	0.177772	-1.000000
1952	D	0.051139	-1.000000
1953	D	-0.092858	-1.000000
1954	R	-0.206861	-1.000000
1955	R	-0.306565	-1.000000
1956	R	-0.363810	-1.000000
1957	R	-0.418210	-1.000000
1958	D	-0.483040	-1.000000
1959	D	-0.576685	-1.000000
1960	D	-0.598853	-1.000000
1961	D	-0.633366	-1.000000
1962	R	-0.365780	1.000000
1963	R	-0.176038	1.000000
1964	R	0.044733	1.000000
1965	R	0.163029	1.000000
1966	D	0.322139	1.000000
1967	D	0.413044	1.000000
1968	D	0.471371	1.000000
1969	D	0.502584	1.000000
1970	R	0.558438	1.000000
1971	R	0.653144	1.000000
1972	R	0.715436	1.000000
1973	R	0.764559	1.000000
1974	D	0.442827	-1.000000
1975	D	0.261960	-1.000000
1976	D	0.103569	-1.000000
1977	D	-0.064236	-1.000000
1978	R	-0.209195	-1.000000
1979	R	-0.313657	-1.000000
1980	R	-0.350634	-1.000000
1981	R	-0.465464	-1.000000
1982	D	-0.544251	-1.000000
1983	D	-0.557532	-1.000000
1984	D	-0.623059	-1.000000
1985	D	-0.676300	-1.000000
1986	R	-0.436150	1.000000
1987	R	-0.272194	1.000000
1988	R	-0.088994	1.000000
1989	R	0.023839	1.000000
1990	D	0.182591	1.000000
1991	D	0.291070	1.000000
1992	D	0.451685	1.000000
1993	D	0.528130	1.000000
1994	R	0.625653	1.000000
1995	R	0.628479	1.000000
1996	R	0.666316	1.000000
1997	R	0.711835	1.000000
1998	D	0.521659	-1.000000
1999	D	0.257210	-1.000000
2000	D	0.112575	-1.000000
2001	D	-0.022343	-1.000000
2002	R	-0.108757	-1.000000
2003	R	-0.206844	-1.000000
2004	R	-0.310028	-1.000000
2005	R	-0.414945	-1.000000
2006	D	-0.525921	-1.000000
2007	D	-0.576942	-1.000000
2008	D	-0.631924	-1.000000
2009	D	-0.612300	-1.000000
2010	R	-0.403013	1.000000
2011	R	-0.197177	1.000000
2012	R	-0.078899	1.000000
2013	R	0.056845	1.000000
2014	D	0.191925	1.000000
2015	D	0.323627	1.000000
2016	D	0.454298	1.000000
2017	D	0.520601	1.000000
2018	R	0.544766	1.000000
2019	R	0.612559	1.000000
2020	R	0.671957	1.000000
2021	R	0.721685	1.000000
2022	D	0.456652	-1.000000
2023	D	0.286383	-1.000000
2024	D	0.110290	-1.000000
2025	D	-0.021031	-1.000000
