year	president_party	public_polarization	scotus_polarization
1866	R	0.131450	1.000000
1867	R	0.242317	1.000000
1868	R	0.338402	1.000000
1869	R	0.444474	1.000000
1870	D	0.509747	1.000000
1871	D	0.524137	1.000000
1872	D	0.591258	1.000000
1873	D	0.630322	1.000000
1874	R	0.665037	1.000000
1875	R	0.704530	1.000000
1876	R	0.741592	1.000000
1877	R	0.801032	1.000000
1878	D	0.836348	1.000000
1879	D	0.849984	1.000000
1880	D	0.836109	1.000000
1881	D	0.816025	1.000000
1882	R	0.836784	1.000000
1883	R	0.886371	1.000000
1884	R	0.890437	1.000000
1885	R	0.889454	1.000000
1886	D	0.907761	1.000000
1887	D	0.863763	1.000000
1888	D	0.860603	1.000000
1889	D	0.881995	1.000000
1890	R	0.911670	1.000000
1891	R	0.903473	1.000000
1892	R	0.915022	1.000000
1893	R	0.920988	1.000000
1894	D	0.942082	1.000000
1895	D	0.903145	1.000000
1896	D	0.920493	1.000000
1897	D	0.872756	1.000000
1898	R	0.799016	1.000000
1899	R	0.796729	1.000000
1900	R	0.785518	1.000000
1901	R	0.829743	1.000000
1902	D	0.589437	-1.000000
1903	D	0.328677	-1.000000
1904	D	0.169024	-1.000000
1905	D	-0.022168	-1.000000
1906	R	-0.157202	-1.000000
1907	R	-0.278211	-1.000000
1908	R	-0.368819	-1.000000
1909	R	-0.424709	-1.000000
1910	D	-0.477623	-1.000000
1911	D	-0.531255	-1.000000
1912	D	-0.567841	-1.000000
1913	D	-0.604082	-1.000000
1914	R	-0.668051	-1.000000
1915	R	-0.725137	-1.000000
1916	R	-0.766238	-1.000000
1917	R	-0.772095	-1.000000
1918	D	-0.799556	-1.000000
1919	D	-0.745322	-1.000000
1920	D	-0.793875	-1.000000
1921	D	-0.843532	-1.000000
1922	R	-0.829720	-1.000000
1923	R	-0.798379	-1.000000
1924	R	-0.799224	-1.000000
1925	R	-0.790038	-1.000000
1926	D	-0.764514	-1.000000
1927	D	-0.788430	-1.000000
1928	D	-0.848627	-1.000000
1929	D	-0.873067	-1.000000
1930	R	-0.849292	-1.000000
1931	R	-0.900981	-1.000000
1932	R	-0.900600	-1.000000
1933	R	-0.893685	-1.000000
1934	D	-0.904873	-1.000000
1935	D	-0.883205	-1.000000
1936	D	-0.869073	-1.000000
1937	D	-0.804842	-1.000000
1938	R	-0.529744	1.000000
1939	R	-0.332793	1.000000
1940	R	-0.163955	1.000000
1941	R	-0.028537	1.000000
1942	D	0.140084	1.000000
1943	D	0.237838	1.000000
1944	D	0.335827	1.000000
1945	D	0.443704	1.000000
1946	R	0.491217	1.000000
1947	R	0.544497	1.000000
1948	R	0.543356	1.000000
1949	R	0.565151	1.000000
1950	D	0.599118	1.000000
1951	D	0.657495	1.000000
1952	D	0.730448	1.000000
1953	D	0.756099	1.000000
1954	R	0.786297	1.000000
1955	R	0.809164	1.000000
1956	R	0.856104	1.000000
1957	R	0.890261	1.000000
1958	D	0.900705	1.000000
1959	D	0.871043	1.000000
1960	D	0.903261	1.000000
1961	D	0.914975	1.000000
1962	R	0.950309	1.000000
1963	R	0.942638	1.000000
1964	R	0.995608	1.000000
1965	R	0.971272	1.000000
1966	D	1.000000	1.000000
1967	D	0.989226	1.000000
1968	D	0.961126	1.000000
1969	D	0.918876	1.000000
1970	R	0.912286	1.000000
1971	R	0.953915	1.000000
1972	R	0.971091	1.000000
1973	R	0.981866	1.000000
1974	D	0.627538	-1.000000
1975	D	0.418964	-1.000000
1976	D	0.237023	-1.000000
1977	D	0.049199	-1.000000
1978	R	-0.112774	-1.000000
1979	R	-0.231700	-1.000000
1980	R	-0.280971	-1.000000
1981	R	-0.406250	-1.000000
1982	D	-0.493919	-1.000000
1983	D	-0.514750	-1.000000
1984	D	-0.586694	-1.000000
1985	D	-0.645390	-1.000000
1986	R	-0.681420	-1.000000
1987	R	-0.752218	-1.000000
1988	R	-0.768559	-1.000000
1989	R	-0.825336	-1.000000
1990	D	-0.810752	-1.000000
1991	D	-0.824816	-1.000000
1992	D	-0.768363	-1.000000
1993	D	-0.780456	-1.000000
1994	R	-0.758189	-1.000000
1995	R	-0.819331	-1.000000
1996	R	-0.835867	-1.000000
1997	R	-0.836565	-1.000000
1998	D	-0.794481	-1.000000
1999	D	-0.861509	-1.000000
2000	D	-0.838336	-1.000000
2001	D	-0.830617	-1.000000
2002	R	-0.795790	-1.000000
2003	R	-0.790823	-1.000000
2004	R	-0.806409	-1.000000
2005	R	-0.836870	-1.000000
2006	D	-0.884557	-1.000000
2007	D	-0.881783	-1.000000
2008	D	-0.891039	-1.000000
2009	D	-0.832547	-1.000000
2010	R	-0.590223	1.000000
2011	R	-0.356306	1.000000
2012	R	-0.214158	1.000000
2013	R	-0.058126	1.000000
2014	D	0.094200	1.000000
2015	D	0.240561	1.000000
2016	D	0.383692	1.000000
2017	D	0.460586	1.000000
2018	R	0.493753	1.000000
2019	R	0.569198	1.000000
2020	R	0.635100	1.000000
2021	R	0.690357	1.000000
2022	D	0.701567	1.000000
2023	D	0.766106	1.000000
2024	D	0.789599	1.000000
2025	D	0.827926	1.000000
