year	president_party	public_polarization	scotus_polarization
1866	R	0.131450	1.000000
1867	R	0.242317	1.000000
1868	R	0.338402	1.000000
1869	R	0.444474	1.000000
1870	D	0.509747	1.000000
1871	D	0.524137	1.000000
1872	D	0.591258	1.000000
1873	D	0.630322	1.000000
1874	R	0.665037	1.000000
1875	R	0.704530	1.000000
1876	R	0.741592	1.000000
1877	R	0.801032	1.000000
1878	D	0.836348	1.000000
1879	D	0.849984	1.000000
1880	D	0.836109	1.000000
1881	D	0.816025	1.000000
1882	R	0.836784	1.000000
1883	R	0.886371	1.000000
1884	R	0.890437	1.000000
1885	R	0.889454	1.000000
1886	D	0.907761	1.000000
1887	D	0.863763	1.000000
1888	D	0.860603	1.000000
1889	D	0.881995	1.000000
1890	R	0.911670	1.000000
1891	R	0.903473	1.000000
1892	R	0.915022	1.000000
1893	R	0.920988	1.000000
1894	D	0.942082	1.000000
1895	D	0.903145	1.000000
1896	D	0.920493	1.000000
1897	D	0.872756	1.000000
1898	R	0.799016	1.000000
1899	R	0.796729	1.000000
1900	R	0.785518	1.000000
1901	R	0.829743	1.000000
1902	D	0.860982	1.000000
1903	D	0.831034	1.000000
1904	D	0.867572	1.000000
1905	D	0.843143	1.000000
1906	R	0.849856	1.000000
1907	R	0.849333	1.000000
1908	R	0.861138	1.000000
1909	R	0.892298	1.000000
1910	D	0.913378	1.000000
1911	D	0.922640	1.000000
1912	D	0.939515	1.000000
1913	D	0.948715	1.000000
1914	R	0.923370	1.000000
1915	R	0.899116	1.000000
1916	R	0.885922	1.000000
1917	R	0.903785	1.000000
1918	D	0.896486	1.000000
1919	D	0.967858	1.000000
1920	D	0.933873	1.000000
1921	D	0.896598	1.000000
1922	R	0.920935	1.000000
1923	R	0.961222	1.000000
1924	R	0.967982	1.000000
1925	R	0.983631	1.000000
1926	D	1.000000	1.000000
1927	D	0.982951	1.000000
1928	D	0.928592	1.000000
1929	D	0.909113	1.000000
1930	R	0.937105	1.000000
1931	R	0.889001	1.000000
1932	R	0.892429	1.000000
1933	R	0.901934	1.000000
1934	D	0.892949	1.000000
1935	D	0.916488	1.000000
1936	D	0.932210	1.000000
1937	D	0.997793	1.000000
1938	R	1.000000	1.000000
1939	R	0.967490	1.000000
1940	R	0.941285	1.000000
1941	R	0.910917	1.000000
1942	D	0.938620	1.000000
1943	D	0.916594	1.000000
1944	D	0.912769	1.000000
1945	D	0.934105	1.000000
1946	R	0.908058	1.000000
1947	R	0.898812	1.000000
1948	R	0.844524	1.000000
1949	R	0.821143	1.000000
1950	D	0.816712	1.000000
1951	D	0.842450	1.000000
1952	D	0.887660	1.000000
1953	D	0.889729	1.000000
1954	R	0.899883	1.000000
1955	R	0.905712	1.000000
1956	R	0.938169	1.000000
1957	R	0.960017	1.000000
1958	D	0.959997	1.000000
1959	D	0.921442	1.000000
1960	D	0.946099	1.000000
1961	D	0.951388	1.000000
1962	R	0.981260	1.000000
1963	R	0.968946	1.000000
1964	R	1.000000	1.000000
1965	R	0.975006	1.000000
1966	D	1.000000	1.000000
1967	D	0.989226	1.000000
1968	D	0.961126	1.000000
1969	D	0.918876	1.000000
1970	R	0.912286	1.000000
1971	R	0.953915	1.000000
1972	R	0.971091	1.000000
1973	R	0.981866	1.000000
1974	D	0.899082	1.000000
1975	D	0.921321	1.000000
1976	D	0.935571	1.000000
1977	D	0.914510	1.000000
1978	R	0.894284	1.000000
1979	R	0.895844	1.000000
1980	R	0.948986	1.000000
1981	R	0.910757	1.000000
1982	D	0.897082	1.000000
1983	D	0.939145	1.000000
1984	D	0.920661	1.000000
1985	D	0.907407	1.000000
1986	R	0.910001	1.000000
1987	R	0.872035	1.000000
1988	R	0.883600	1.000000
1989	R	0.850544	1.000000
1990	D	0.885290	1.000000
1991	D	0.888364	1.000000
1992	D	0.959385	1.000000
1993	D	0.959675	1.000000
1994	R	0.992466	1.000000
1995	R	0.940271	1.000000
1996	R	0.931338	1.000000
1997	R	0.937104	1.000000
1998	D	0.984682	1.000000
1999	D	0.922325	1.000000
2000	D	0.949467	1.000000
2001	D	0.960560	1.000000
2002	R	0.998254	1.000000
2003	R	1.000000	1.000000
2004	R	0.987334	1.000000
2005	R	0.959357	1.000000
2006	D	0.913780	1.000000
2007	D	0.918348	1.000000
2008	D	0.910617	1.000000
2009	D	0.970405	1.000000
2010	R	0.942286	1.000000
2011	R	0.946327	1.000000
2012	R	0.893080	1.000000
2013	R	0.883026	1.000000
2014	D	0.894179	1.000000
2015	D	0.920543	1.000000
2016	D	0.961677	1.000000
2017	D	0.951873	1.000000
2018	R	0.911347	1.000000
2019	R	0.924153	1.000000
2020	R	0.936812	1.000000
2021	R	0.946812	1.000000
2022	D	0.919554	1.000000
2023	D	0.951395	1.000000
2024	D	0.947094	1.000000
2025	D	0.961797	1.000000
